species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Hooded Warbler,New York City,02-07-2023 11:15,"A small warbler with a black hood, a bright yellow underbody, and a distinctive ""witchety-witchety"" call",Male,"Black, Yellow, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,yellow,,,call,,
Brown Wood Owl,Kuala Lumpur,26-06-2023 12:40,"A medium-sized owl with a brown plumage, a large rounded head, and prominent ear tufts",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Black-throated Blue Warbler,"Washington, D.C.",03-07-2023 15:55,A small warbler with a black-and-blue plumage,Male,Black and Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|blue,,,,,,small,,,,,,,,,,
Long-billed Curlew,Seattle,27-06-2023 09:25,"A large wading bird with a long curved bill, a mottled brown plumage, and a distinctive ""curlee"" call",Unknown,Brown,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,wading,,,,brown,,mottled,,,,large,,,,,,,,call,,
Gilded Flicker,Phoenix,04-07-2023 11:40,"A medium-sized woodpecker with a brown plumage, a black crescent on its chest, and a distinctive golden-yellow underwing",Male,"Brown, Black, and Golden-yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,gold|yellow,,,,
Mute Swan,London,28-06-2023 14:05,"A large swan with a white plumage, an orange bill, and a graceful neck",Unknown,White and Orange,,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Gray Partridge,Calgary,05-07-2023 10:25,A medium-sized gamebird with a grayish-brown plumage and a distinctive call,Unknown,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,call,,
Red-legged Seriema,Buenos Aires,29-06-2023 13:40,"A medium-sized bird with a brown plumage, long legs, and a loud, piercing call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,,,,,brown,,,,,,medium,,,,,,,,call,,
Marabou Stork,Mombasa,06-07-2023 15:05,"A large wading bird with a bald head, a grayish-brown plumage, and a long, down-curved bill",Unknown,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wading,,,,gray_brown,,,,,,large,,,,,,,,,,
Snow Bunting,Anchorage,30-06-2023 16:30,"A medium-sized bunting with a white plumage, black wingtips, and a rusty-brown back",Unknown,"White, Black, and Rusty-brown",,brown|rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,black
Palm Cockatoo,Cairns,07-07-2023 09:55,"A large cockatoo with a black plumage, a distinctive red crest, and a powerful bill",Unknown,"Black, Red, and Powerful",,,,,,,,,,,,,,red,,,,,,,,,,crest,,,,,,,,,black,,,,,,large,,,,,,,,,,
Red-billed Tropicbird,Mauritius,26-06-2023 11:20,"A medium-sized seabird with a white plumage, a long, thin red bill, and a distinctive long, white tail streamers",Unknown,White and Red,,,,red,,slender,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,white,,,,,,,,,
Bald Eagle,Seattle,01-07-2023 12:40,"A large bird of prey with a brown plumage, a white head, and a hooked yellow bill",Unknown,"Brown, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,brown,,,,,,large,,,,,,,,,,
Anna's Hummingbird,San Francisco,08-07-2023 14:10,"A small hummingbird with a green back, a reddish-pink throat, and a metallic sheen",Male,"Green, Reddish-pink, and Metallic",,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iridescent,,,,,small,,,,pink|red,,,,,,
Black-throated Sparrow,Tucson,27-06-2023 15:30,A small sparrow with a black-and-white head pattern and a gray underbody,Unknown,"Black, White, and Gray",,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,small,,,,,gray,,,,,
Secretary Bird,Johannesburg,02-07-2023 16:55,"A large bird of prey with a gray plumage, a distinctive crested head, and long legs",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,long,,,,,gray,,,,,,large,,,,,,,,,,
Common Pheasant,London,28-06-2023 09:45,"A large gamebird with a mottled brown plumage and a long, pointed tail",Male,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,large,,long,,,,,,,,
Blackpoll Warbler,New York City,03-07-2023 11:10,"A small warbler with a black cap, a white underbody, and a gray back",Male,"Black, White, and Gray",,gray,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Pacific Loon,Victoria,29-06-2023 12:35,"A medium-sized diving bird with a black head, a checkered black-and-white back, and a white underbody",Unknown,"Black, White, and Checkered",,black|white,,,,,,,,,,,,,,,,,,,,black,,,,,,,diving,,,,,,,,,,medium,,,,,white,,,,,
Mountain Quail,Seattle,04-07-2023 15:50,"A medium-sized quail with a brown plumage, a distinctive crest, and a gray face",Unknown,"Brown, Crest, and Gray",,,,,,,,,,,,,,,,,gray,,,,,,,crest,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Green-winged Teal,Calgary,30-06-2023 09:55,"A small dabbling duck with a brownish-plumage, a green wing patch, and a white underbody",Unknown,"Brownish, Green, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,white,,,,green,
Siberian Rubythroat,Moscow,05-07-2023 11:20,"A small bird with a brownish-gray plumage, a reddish throat patch, and a melodious song",Unknown,Brownish-gray and Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,red,,,,song,,
Northern Goshawk,Yellowknife,01-07-2023 14:40,"A medium-sized bird of prey with a dark gray plumage, a white underbody, and a fierce gaze",Unknown,Dark Gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,white,,,,,
Cattle Egret,Miami,06-07-2023 16:15,"A small heron with a white plumage, a yellow bill, and a habit of following cattle",Unknown,White and Yellow,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,small,,,,,,,,,,
Giant Kingfisher,Cape Town,27-06-2023 13:30,"A large kingfisher with a dark blue-gray plumage, a long crest, and a large bill",Unknown,Dark Blue-gray,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue_gray,,,,,,large,,,,,,,,,,
Black Skimmer,New Orleans,02-07-2023 15:45,"A medium-sized seabird with a black upper body, a white underbody, and a distinctive elongated lower bill",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,black,,,
Chestnut-sided Warbler,New York City,28-06-2023 09:55,"A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head",Male,"Yellow, Chestnut, and Gray",,,,,,,,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,chestnut|red,small,,,,,yellow,,,,,
Himalayan Vulture,Kathmandu,03-07-2023 12:40,"A large vulture with a dark brown plumage, a bare yellow face, and a powerful bill",Unknown,"Dark Brown, Yellow, and Powerful",,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,brown,,,,,,large,,,,,,,,,,
White-faced Whistling Duck,Nairobi,29-06-2023 14:20,"A medium-sized duck with a brownish-gray plumage, a white face patch, and a distinctive whistling call",Unknown,Brownish-gray and White,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,call,,
Dalmatian Pelican,Amsterdam,04-07-2023 16:35,"A large waterbird with a white plumage, a yellow bill, and a distinctive throat pouch",Unknown,White and Yellow,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Olive-sided Flycatcher,Vancouver,30-06-2023 09:55,"A small songbird with a brownish-gray plumage, a distinctive white patch on its sides, and a strong voice",Unknown,Brownish-gray and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,white,small,,,,,,,,,,
American White Pelican,Chicago,05-07-2023 12:30,"A large waterbird with a white plumage, a long bill, and a distinctive throat pouch",Unknown,White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Gray Catbird,New York City,01-07-2023 13:45,A medium-sized songbird with a gray plumage and a black cap,Unknown,Gray and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Pied Currawong,Sydney,06-07-2023 15:05,"A medium-sized bird with a black plumage, a white underbody, and a loud, melodious call",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,white,,,call,,
Common Kingfisher,London,27-06-2023 16:30,"A small bird with a bright blue plumage, a rusty-orange underbody, and a long, pointed bill",Unknown,"Blue, Rusty-orange, and Long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,orange|rust,,,,,
Lesser Yellowlegs,Boston,02-07-2023 09:55,A medium-sized wading bird with a mottled brown plumage and long yellow legs,Unknown,Brown and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,wading,,,,brown,,mottled,,,,medium,,,,,,,,,,
Eurasian Hobby,Oslo,28-06-2023 11:20,"A small falcon with a dark gray plumage, a rusty underbody, and a fast flight",Unknown,Dark Gray and Rusty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,rust,,,,,
Red-winged Blackbird,Chicago,03-07-2023 13:40,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,red,,medium,,,,,,,,,,
Greater Sage-Grouse,Denver,29-06-2023 16:55,"A large grouse with mottled gray-brown plumage, a fan-shaped tail, and a distinctive display courtship dance",Male,Gray-brown,,,courtship_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,large,,,fan,,,,,,,
Atlantic Puffin,Reykjavik,04-07-2023 09:50,"A small seabird with a black back, a white underbody, and a distinctive colorful bill",Unknown,"Black, White, and Colorful",,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,,,
Gray-headed Albatross,Cape Town,30-06-2023 11:15,"A large seabird with a gray head, a white body, and a long wingspan",Unknown,Gray and White,,,,,,,white,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Spotted Sandpiper,Seattle,05-07-2023 14:40,"A small sandpiper with a brownish-gray back, a white underbody, and distinctive spots on its breast",Unknown,Brownish-gray and White,,gray_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spotted,,,,small,,,,,white,,,,,
White-tailed Eagle,Oslo,01-07-2023 16:55,"A large bird of prey with a brown plumage, a distinctive white tail, and a hooked yellow bill",Unknown,"Brown, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,large,white,,,,,,,,,
Tropical Mockingbird,Rio de Janeiro,06-07-2023 09:25,"A medium-sized songbird with a grayish-brown plumage, a white underbody, and a talent for mimicry",Unknown,Grayish-brown and White,,,mimicry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,white,,,,,
Red-faced Cormorant,Tokyo,02-07-2023 11:40,"A medium-sized seabird with a dark plumage, a red face patch, and a distinctive white flank patch",Unknown,"Dark, Red, and White",,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
American Avocet,San Francisco,07-07-2023 14:10,"A medium-sized wading bird with a black-and-white plumage and long, thin bill",Unknown,Black and White,,,,,long,slender,,,,,,,,,,,,,,,,,,,,,,,wading,,,,black|white,,,,,,medium,,,,,,,,,,
Ruby-crowned Kinglet,Portland,26-06-2023 16:35,"A small bird with a greenish-gray plumage, a white eye ring, and a ruby-red crown",Male,Greenish-gray and Ruby-red,,,,,,,,,,,,,,,red,white,,,,,,,eye_ring,,,,,,,,,,gray|green,,,,,,small,,,,,,,,,,
Egyptian Vulture,Cairo,03-07-2023 10:30,"A medium-sized vulture with a yellow face, a white plumage, and a distinctive bald head",Unknown,"Yellow, White, and Bald",,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
Western Meadowlark,Denver,27-06-2023 12:45,"A medium-sized blackbird with a yellow underbody, a black V-shaped collar, and a melodious song",Male,Yellow and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,yellow,,,song,,
Common Merganser,Vancouver,04-07-2023 15:50,"A medium-sized diving duck with a grayish-brown plumage, a white underbody, and a slender, serrated bill",Unknown,Grayish-brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,gray_brown,,,,,,medium,,,,,white,,,,,
Greater Scaup,Calgary,28-06-2023 09:55,A medium-sized diving duck with a black-and-white plumage and a blue-gray bill,Unknown,"Black, White, and Blue-gray",,,,blue_gray,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|white,,,,,,medium,,,,,,,,,,
Golden Pheasant,Beijing,05-07-2023 12:30,"A large gamebird with a colorful plumage, including golden, orange, and red",Male,"Golden, Orange, and Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold|orange|red,,,,,,large,,,,,,,,,,
Palm Warbler,Miami,29-06-2023 13:45,"A small warbler with a brownish plumage, a rusty cap, and a distinctive tail wagging behavior",Unknown,Brownish and Rusty,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Black-winged Stilt,Mumbai,06-07-2023 16:15,"A tall wading bird with long pink legs, a black-and-white plumage, and a long, thin bill",Unknown,"Black, White, and Pink",,,,,long,slender,,,,,,,,,,,,,,,,,,,tall,pink,,long,wading,,,,black|white,,,,,,,,,,,,,,,,
Eastern Towhee,"Washington, D.C.",07-07-2023 09:55,"A medium-sized sparrow with a black upper body, a rusty underbody, and distinctive white patches on its wings",Male,"Black, Rusty, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,rust,,black,,white,
Roseate Spoonbill,New Orleans,01-07-2023 12:40,"A medium-sized wading bird with a pink plumage, a long, spoon-shaped bill, and a distinctive upward sweep during flight",Unknown,Pink,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,wading,,,,pink,,,,,,medium,,,,,,,,,,
Eurasian Skylark,London,08-07-2023 14:05,"A small songbird with a brownish plumage, a crest on its head, and a melodious song",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
Harpy Eagle,Manaus,23-06-2023 16:30,"A massive bird of prey with a black-and-white plumage, a large crest, and a hooked bill",Unknown,Black and White,,,,,,hooked,,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,large,,,,,,,,,,
Graylag Goose,Amsterdam,02-07-2023 11:45,A large goose with a grayish-brown plumage and a distinctive orange bill,Unknown,Grayish-brown and Orange,,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,large,,,,,,,,,,
Prothonotary Warbler,New Orleans,03-07-2023 14:20,A small warbler with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Eurasian Wigeon,London,27-06-2023 16:35,"A medium-sized dabbling duck with a grayish-brown plumage, a white belly, and a distinctive white crown patch",Unknown,Grayish-brown and White,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,white,,,,,
Yellow-crowned Night Heron,Miami,04-07-2023 09:55,"A medium-sized heron with a gray plumage, a distinctive yellow crown, and red eyes",Unknown,"Gray, Yellow, and Red",,,,,,,,,,,,,,,yellow,red,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Black Tern,Chicago,28-06-2023 12:10,"A small tern with a black plumage, a white underbody, and a distinctive forked tail",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,small,,,forked,,white,,,,,
Horned Grebe,Vancouver,05-07-2023 14:35,"A small diving bird with a black-and-white plumage, a distinctive golden tuft on its head, and a pointed bill",Unknown,"Black, White, and Golden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|white,,,,,,small,,,,,,,,,,
Eurasian Blackbird,Edinburgh,29-06-2023 16:55,"A medium-sized blackbird with a black plumage, a bright yellow eye ring, and a melodious song",Unknown,Black and Yellow,,,,,,,,,,,,,,,,yellow,,,,,,,eye_ring,,,,,,,,,,black,,,,,,medium,,,,,,,,song,,
African Jacana,Nairobi,06-07-2023 09:25,"A medium-sized wading bird with a brown plumage, long legs, and distinctive ""lily-trotter"" behavior",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,wading,,,,brown,,,,,,medium,,,,,,,,,,
American Robin,New York City,07-07-2023 11:40,"A medium-sized thrush with a grayish-brown plumage, a rusty-red underbody, and a distinctive ""cheerily-cheer-up"" song",Unknown,Grayish-brown and Rusty-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,red|rust,,,song,,
Violet-crowned Hummingbird,Tucson,08-07-2023 15:05,"A small hummingbird with a green back, a violet crown, and a metallic sheen",Male,"Green, Violet, and Metallic",,green,,,,,,,,,,,,,purple,,,,,,,,,,,,,,,,,,,iridescent,,,,,small,,,,,,,,,,
Griffon Vulture,Madrid,24-06-2023 09:55,"A large vulture with a brown plumage, a white head, and a distinctive white ruff",Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,brown,,,,,,large,,,,,,,,,,
Crimson Rosella,Sydney,01-07-2023 12:30,"A medium-sized parrot with a colorful plumage, including crimson, blue, and green",Unknown,"Crimson, Blue, and Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|red,,,,,,medium,,,,,,,,,,
Eastern Screech-Owl,Atlanta,08-07-2023 16:15,"A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,gray,,mottled,,,,small,,,,,,,,call|song,,
Herring Gull,Boston,25-06-2023 09:45,"A large gull with a gray-and-white plumage, a yellow bill, and a distinctive ""laughing"" call",Unknown,"Gray, White, and Yellow",,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray|white,,,,,,large,,,,,,,,call,,
Australian Pelican,Sydney,02-07-2023 11:15,"A large waterbird with a white plumage, a long bill, and a distinctive throat pouch",Unknown,White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Red Knot,Seattle,26-06-2023 13:40,"A medium-sized sandpiper with a rusty plumage, a white underbody, and a long bill",Unknown,Rusty and White,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,rust,,,,,,medium,,,,,white,,,,,
Common Moorhen,London,03-07-2023 15:05,"A medium-sized waterbird with a black plumage, a red bill, and a distinctive white undertail",Male,"Black, Red, and White",,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Long-eared Owl,Denver,27-06-2023 16:30,"A medium-sized owl with a mottled brown plumage, long ear tufts, and a fierce glare",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,ear_tufts,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Common Chaffinch,Edinburgh,04-07-2023 09:50,"A small finch with a colorful plumage, including blue, brown, and pink",Unknown,"Blue, Brown, and Pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|brown|pink,,,,,,small,,,,,,,,,,
Bar-tailed Godwit,Anchorage,28-06-2023 11:15,"A medium-sized wading bird with a mottled brown plumage, a long, upturned bill, and distinctive barred tail feathers",Unknown,Brown and Barred,,,,,,upturned,,,,,,,,,,,,,,,,,,,,,,,wading,,,,brown,,barred|mottled,,,,medium,,,,,,,,,,
Red-bellied Woodpecker,Atlanta,05-07-2023 13:30,"A medium-sized woodpecker with a grayish-brown plumage, a red cap, and a distinctive ""churr"" call",Unknown,Grayish-brown and Red,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,call,,
African Grey Parrot,Kinshasa,29-06-2023 15:55,"A medium-sized parrot with a gray plumage, a distinctive red tail, and a talent for mimicry",Unknown,Gray and Red,,,mimicry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,red,,,,,,,,,
Crested Caracara,Mexico City,06-07-2023 09:25,"A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a hooked bill",Unknown,Black and White,,,,,,hooked,,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Mallard,New York City,07-07-2023 12:40,"A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call",Unknown,"Green, White, and Colorful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,green,iridescent,,,,,medium,,,,,,,,call,,
Golden-crowned Kinglet,Seattle,08-07-2023 15:05,"A small bird with a greenish-gray plumage, a black-and-white head pattern, and a distinctive golden crown",Male,"Greenish-gray, Black, and Gold",,,,,,,,,,,,,,,gold,,,,,,,black|white,,,,,,,,,,,gray|green,,,,,,small,,,,,,,,,,
Golden Eagle,Denver,01-07-2023 14:10,"A large bird of prey with a dark brown plumage, a golden nape, and a powerful beak",Unknown,Dark Brown and Golden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,brown,,,,,,large,,,,,,,,,,
Red-tailed Hawk,Los Angeles,26-06-2023 11:20,"A large bird of prey with a brown plumage, a red tail, and a piercing scream",Unknown,Brown and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,large,red,,,,,,,,,
Cerulean Warbler,Chicago,04-07-2023 09:55,A small warbler with a blue plumage and a high-pitched song,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,song,,
Mandarin Duck,London,23-06-2023 12:40,"A medium-sized duck with a colorful plumage, including orange, green, and blue",Male,"Orange, Green, and Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|orange,,,,,,medium,,,,,,,,,,
Blue Jay,New York City,01-07-2023 16:35,"A medium-sized songbird with a blue upper body, a white underbody, and a raucous call",Unknown,Blue and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,blue,call,,
European Bee-eater,Athens,29-06-2023 14:20,"A colorful bird with a brown plumage, a yellow throat, and a long, curved bill",Unknown,Brown and Yellow,,,,,,curved,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,yellow,,,,,,
Rock Pigeon,Paris,06-07-2023 09:25,A medium-sized pigeon with a gray plumage and a distinctive iridescent neck patch,Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,iridescent,,,,,medium,,,,,,,,,,
Black-throated Green Warbler,"Washington, D.C.",24-06-2023 11:40,"A small warbler with a black throat, a yellow underbody, and a green back",Male,"Black, Yellow, and Green",,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,black,yellow,,,,,
Greater Flamingo,Mumbai,02-07-2023 13:30,"A large wading bird with a pink plumage, a long neck, and distinctive downward-curving bill",Unknown,Pink,,,,,,downcurved,,,,,,,,,,,,,,,,,,,,,,,wading,,,long,pink,,,,,,large,,,,,,,,,,
Western Tanager,Seattle,25-06-2023 15:50,"A medium-sized bird with a bright red head, a yellow body, and black wings",Male,"Red, Yellow, and Black",,,,,,,yellow,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,medium,,,,,,,,,black,
Crested Tit,Edinburgh,03-07-2023 09:55,A small songbird with a black-and-white head pattern and a distinctive crest,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,black|white,,crest,,,,,,,,,,,,,,,small,,,,,,,,,,
Cinnamon Teal,Portland,26-06-2023 12:35,"A small dabbling duck with a cinnamon-brown plumage, a red eye, and a distinctive blue bill patch",Male,"Cinnamon-brown, Red, and Blue",,,,blue,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,brown|cinnamon,,,,,,small,,,,,,,,,,
Black-capped Chickadee,Boston,04-07-2023 14:10,"A small songbird with a black cap, a white underbody, and a distinctive ""chick-a-dee-dee-dee"" call",Unknown,Black and White,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,,call,,
Eurasian Nuthatch,Amsterdam,27-06-2023 16:55,"A small songbird with a blue-gray upper body, a rusty-orange underbody, and a habit of climbing down trees headfirst",Unknown,Blue-gray and Rusty-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,orange|rust,,blue_gray,,,
Barn Swallow,Cape Town,05-07-2023 09:45,"A medium-sized bird with a blue upper body, a rusty-red underbody, and a distinctive forked tail",Unknown,"Blue, Rusty-red, and Forked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,forked,,red|rust,,blue,,,
Black-throated Sparrow,Tucson,23-06-2023 11:15,A small sparrow with a black-and-white head pattern and a gray underbody,Unknown,"Black, White, and Gray",,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,small,,,,,gray,,,,,
Scarlet Macaw,Rio de Janeiro,01-07-2023 12:30,"A large parrot with a colorful plumage, including red, blue, and yellow",Unknown,"Red, Blue, and Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|red|yellow,,,,,,large,,,,,,,,,,
Black-crowned Night Heron,Seattle,28-06-2023 14:35,"A medium-sized heron with a black plumage, a white underbody, and red eyes",Unknown,"Black, White, and Red",,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,white,,,,,
Rufous Hummingbird,Victoria,06-07-2023 09:50,A small hummingbird with a reddish-brown plumage and a metallic sheen,Male,Reddish-brown and Metallic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|red,iridescent,,,,,small,,,,,,,,,,
Barred Owl,Vancouver,24-06-2023 11:10,"A medium-sized owl with a brown plumage, a barred chest, and a distinctive hooting call",Unknown,Brown and Barred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,barred,,,,medium,,,,,,,,call,,
Ring-necked Pheasant,Denver,02-07-2023 14:25,"A large gamebird with a colorful plumage, including copper, green, and brown",Male,"Copper, Green, and Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|copper|green,,,,,,large,,,,,,,,,,
Snowy Egret,New Orleans,29-06-2023 16:15,"A medium-sized heron with a white plumage, a slender black bill, and distinctive yellow feet",Unknown,"White, Black, and Yellow",,,,black,,slender,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
