species,location,time,description of bird,sex,feather color,,,,,,
Black-throated Sparrow,Tucson,27-06-2023 15:30,A small sparrow with a black-and-white head pattern and a gray underbody,Unknown,Black, White, and Gray,,,,
Secretary Bird,Johannesburg,02-07-2023 16:55,A large bird of prey with a gray plumage, a distinctive crested head, and long legs,Unknown,Gray,,,,
Common Pheasant,London,28-06-2023 09:45,A large gamebird with a mottled brown plumage and a long, pointed tail,Male,Brown,,,,,
Blackpoll Warbler,New York City,03-07-2023 11:10,A small warbler with a black cap, a white underbody, and a gray back,Male,Black, White, and Gray,,
Pacific Loon,Victoria,29-06-2023 12:35,A medium-sized diving bird with a black head, a checkered black-and-white back, and a white underbody,Unknown,Black, White, and Checkered,,
Mountain Quail,Seattle,04-07-2023 15:50,A medium-sized quail with a brown plumage, a distinctive crest, and a gray face,Unknown,Brown, Crest, and Gray,,
Green-winged Teal,Calgary,30-06-2023 09:55,A small dabbling duck with a brownish-plumage, a green wing patch, and a white underbody,Unknown,Brownish, Green, and White,,
Siberian Rubythroat,Moscow,05-07-2023 11:20,A small bird with a brownish-gray plumage, a reddish throat patch, and a melodious song,Unknown,Brownish-gray and Reddish,,,,
Northern Goshawk,Yellowknife,01-07-2023 14:40,A medium-sized bird of prey with a dark gray plumage, a white underbody, and a fierce gaze,Unknown,Dark Gray and White,,,,
Cattle Egret,Miami,06-07-2023 16:15,A small heron with a white plumage, a yellow bill, and a habit of following cattle,Unknown,White and Yellow,,,,
Giant Kingfisher,Cape Town,27-06-2023 13:30,A large kingfisher with a dark blue-gray plumage, a long crest, and a large bill,Unknown,Dark Blue-gray,,,,
Black Skimmer,New Orleans,02-07-2023 15:45,A medium-sized seabird with a black upper body, a white underbody, and a distinctive elongated lower bill,Unknown,Black and White,,,,
Chestnut-sided Warbler,New York City,28-06-2023 09:55,A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head,Male,Yellow, Chestnut, and Gray,,
Himalayan Vulture,Kathmandu,03-07-2023 12:40,A large vulture with a dark brown plumage, a bare yellow face, and a powerful bill,Unknown,Dark Brown, Yellow, and Powerful,,
White-faced Whistling Duck,Nairobi,29-06-2023 14:20,A medium-sized duck with a brownish-gray plumage, a white face patch, and a distinctive whistling call,Unknown,Brownish-gray and White,,,,
Dalmatian Pelican,Amsterdam,04-07-2023 16:35,A large waterbird with a white plumage, a yellow bill, and a distinctive throat pouch,Unknown,White and Yellow,,,,
Olive-sided Flycatcher,Vancouver,30-06-2023 09:55,A small songbird with a brownish-gray plumage, a distinctive white patch on its sides, and a strong voice,Unknown,Brownish-gray and White,,,,
American White Pelican,Chicago,05-07-2023 12:30,A large waterbird with a white plumage, a long bill, and a distinctive throat pouch,Unknown,White,,,,
Gray Catbird,New York City,01-07-2023 13:45,A medium-sized songbird with a gray plumage and a black cap,Unknown,Gray and Black,,,,,,
Pied Currawong,Sydney,06-07-2023 15:05,A medium-sized bird with a black plumage, a white underbody, and a loud, melodious call,Unknown,Black and White,,,
Common Kingfisher,London,27-06-2023 16:30,A small bird with a bright blue plumage, a rusty-orange underbody, and a long, pointed bill,Unknown,Blue, Rusty-orange, and Long,
Lesser Yellowlegs,Boston,02-07-2023 09:55,A medium-sized wading bird with a mottled brown plumage and long yellow legs,Unknown,Brown and Yellow,,,,,,
Eurasian Hobby,Oslo,28-06-2023 11:20,A small falcon with a dark gray plumage, a rusty underbody, and a fast flight,Unknown,Dark Gray and Rusty,,,,
Red-winged Blackbird,Chicago,03-07-2023 13:40,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,,,,,,
Greater Sage-Grouse,Denver,29-06-2023 16:55,A large grouse with mottled gray-brown plumage, a fan-shaped tail, and a distinctive display courtship dance,Male,Gray-brown,,,,
Atlantic Puffin,Reykjavik,04-07-2023 09:50,A small seabird with a black back, a white underbody, and a distinctive colorful bill,Unknown,Black, White, and Colorful,,
Gray-headed Albatross,Cape Town,30-06-2023 11:15,A large seabird with a gray head, a white body, and a long wingspan,Unknown,Gray and White,,,,
Spotted Sandpiper,Seattle,05-07-2023 14:40,A small sandpiper with a brownish-gray back, a white underbody, and distinctive spots on its breast,Unknown,Brownish-gray and White,,,,
White-tailed Eagle,Oslo,01-07-2023 16:55,A large bird of prey with a brown plumage, a distinctive white tail, and a hooked yellow bill,Unknown,Brown, White, and Yellow,,
Tropical Mockingbird,Rio de Janeiro,06-07-2023 09:25,A medium-sized songbird with a grayish-brown plumage, a white underbody, and a talent for mimicry,Unknown,Grayish-brown and White,,,,
Red-faced Cormorant,Tokyo,02-07-2023 11:40,A medium-sized seabird with a dark plumage, a red face patch, and a distinctive white flank patch,Unknown,Dark, Red, and White,,
American Avocet,San Francisco,07-07-2023 14:10,A medium-sized wading bird with a black-and-white plumage and long, thin bill,Unknown,Black and White,,,,,
Ruby-crowned Kinglet,Portland,26-06-2023 16:35,A small bird with a greenish-gray plumage, a white eye ring, and a ruby-red crown,Male,Greenish-gray and Ruby-red,,,,
Egyptian Vulture,Cairo,03-07-2023 10:30,A medium-sized vulture with a yellow face, a white plumage, and a distinctive bald head,Unknown,Yellow, White, and Bald,,
Western Meadowlark,Denver,27-06-2023 12:45,A medium-sized blackbird with a yellow underbody, a black V-shaped collar, and a melodious song,Male,Yellow and Black,,,,
Common Merganser,Vancouver,04-07-2023 15:50,A medium-sized diving duck with a grayish-brown plumage, a white underbody, and a slender, serrated bill,Unknown,Grayish-brown and White,,,
Greater Scaup,Calgary,28-06-2023 09:55,A medium-sized diving duck with a black-and-white plumage and a blue-gray bill,Unknown,Black, White, and Blue-gray,,,,
Golden Pheasant,Beijing,05-07-2023 12:30,A large gamebird with a colorful plumage, including golden, orange, and red,Male,Golden, Orange, and Red,
Palm Warbler,Miami,29-06-2023 13:45,A small warbler with a brownish plumage, a rusty cap, and a distinctive tail wagging behavior,Unknown,Brownish and Rusty,,,,
Black-winged Stilt,Mumbai,06-07-2023 16:15,A tall wading bird with long pink legs, a black-and-white plumage, and a long, thin bill,Unknown,Black, White, and Pink,
Eastern Towhee,Washington, D.C.,07-07-2023 09:55,A medium-sized sparrow with a black upper body, a rusty underbody, and distinctive white patches on its wings,Male,Black, Rusty, and White,
Roseate Spoonbill,New Orleans,01-07-2023 12:40,A medium-sized wading bird with a pink plumage, a long, spoon-shaped bill, and a distinctive upward sweep during flight,Unknown,Pink,,,
Eurasian Skylark,London,08-07-2023 14:05,A small songbird with a brownish plumage, a crest on its head, and a melodious song,Unknown,Brownish,,,,
Harpy Eagle,Manaus,23-06-2023 16:30,A massive bird of prey with a black-and-white plumage, a large crest, and a hooked bill,Unknown,Black and White,,,,
Graylag Goose,Amsterdam,02-07-2023 11:45,A large goose with a grayish-brown plumage and a distinctive orange bill,Unknown,Grayish-brown and Orange,,,,,,
Prothonotary Warbler,New Orleans,03-07-2023 14:20,A small warbler with a bright yellow plumage,Male,Yellow,,,,,,
Eurasian Wigeon,London,27-06-2023 16:35,A medium-sized dabbling duck with a grayish-brown plumage, a white belly, and a distinctive white crown patch,Unknown,Grayish-brown and White,,,,
Yellow-crowned Night Heron,Miami,04-07-2023 09:55,A medium-sized heron with a gray plumage, a distinctive yellow crown, and red eyes,Unknown,Gray, Yellow, and Red,,
Black Tern,Chicago,28-06-2023 12:10,A small tern with a black plumage, a white underbody, and a distinctive forked tail,Unknown,Black and White,,,,
Horned Grebe,Vancouver,05-07-2023 14:35,A small diving bird with a black-and-white plumage, a distinctive golden tuft on its head, and a pointed bill,Unknown,Black, White, and Golden,,
Eurasian Blackbird,Edinburgh,29-06-2023 16:55,A medium-sized blackbird with a black plumage, a bright yellow eye ring, and a melodious song,Unknown,Black and Yellow,,,,
African Jacana,Nairobi,06-07-2023 09:25,A medium-sized wading bird with a brown plumage, long legs," and distinctive ""lily-trotter"" behavior,Unknown,Brown",Unknown,Brown,,,,
American Robin,New York City,07-07-2023 11:40,A medium-sized thrush with a grayish-brown plumage, a rusty-red underbody," and a distinctive ""cheerily-cheer-up"" song,Unknown,Grayish-brown and Rusty-red",Unknown,Grayish-brown and Rusty-red,,,,
Violet-crowned Hummingbird,Tucson,08-07-2023 15:05,A small hummingbird with a green back, a violet crown, and a metallic sheen,Male,Green, Violet, and Metallic,,
Griffon Vulture,Madrid,24-06-2023 09:55,A large vulture with a brown plumage, a white head, and a distinctive white ruff,Unknown,Brown and White,,,,
Crimson Rosella,Sydney,01-07-2023 12:30,A medium-sized parrot with a colorful plumage, including crimson, blue, and green,Unknown,Crimson, Blue, and Green,
Eastern Screech-Owl,Atlanta,08-07-2023 16:15,A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call,Unknown,Gray,,,,
Herring Gull,Boston,25-06-2023 09:45,A large gull with a gray-and-white plumage, a yellow bill," and a distinctive ""laughing"" call,Unknown,Gray, White, and Yellow",Unknown,Gray, White, and Yellow,,
Australian Pelican,Sydney,02-07-2023 11:15,A large waterbird with a white plumage, a long bill, and a distinctive throat pouch,Unknown,White,,,,
Red Knot,Seattle,26-06-2023 13:40,A medium-sized sandpiper with a rusty plumage, a white underbody, and a long bill,Unknown,Rusty and White,,,,
Common Moorhen,London,03-07-2023 15:05,A medium-sized waterbird with a black plumage, a red bill, and a distinctive white undertail,Male,Black, Red, and White,,
Long-eared Owl,Denver,27-06-2023 16:30,A medium-sized owl with a mottled brown plumage, long ear tufts, and a fierce glare,Unknown,Brown,,,,
Common Chaffinch,Edinburgh,04-07-2023 09:50,A small finch with a colorful plumage, including blue, brown, and pink,Unknown,Blue, Brown, and Pink,
Bar-tailed Godwit,Anchorage,28-06-2023 11:15,A medium-sized wading bird with a mottled brown plumage, a long, upturned bill, and distinctive barred tail feathers,Unknown,Brown and Barred,,,
Red-bellied Woodpecker,Atlanta,05-07-2023 13:30,A medium-sized woodpecker with a grayish-brown plumage, a red cap," and a distinctive ""churr"" call,Unknown,Grayish-brown and Red",Unknown,Grayish-brown and Red,,,,
African Grey Parrot,Kinshasa,29-06-2023 15:55,A medium-sized parrot with a gray plumage, a distinctive red tail, and a talent for mimicry,Unknown,Gray and Red,,,,
Crested Caracara,Mexico City,06-07-2023 09:25,A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a hooked bill,Unknown,Black and White,,,,
Mallard,New York City,07-07-2023 12:40,A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call,Unknown,Green, White, and Colorful,
Golden-crowned Kinglet,Seattle,08-07-2023 15:05,A small bird with a greenish-gray plumage, a black-and-white head pattern, and a distinctive golden crown,Male,Greenish-gray, Black, and Gold,,
Golden Eagle,Denver,01-07-2023 14:10,A large bird of prey with a dark brown plumage, a golden nape, and a powerful beak,Unknown,Dark Brown and Golden,,,,
Red-tailed Hawk,Los Angeles,26-06-2023 11:20,A large bird of prey with a brown plumage, a red tail, and a piercing scream,Unknown,Brown and Red,,,,
Cerulean Warbler,Chicago,04-07-2023 09:55,A small warbler with a blue plumage and a high-pitched song,Male,Blue,,,,,,
Mandarin Duck,London,23-06-2023 12:40,A medium-sized duck with a colorful plumage, including orange, green, and blue,Male,Orange, Green, and Blue,
Blue Jay,New York City,01-07-2023 16:35,A medium-sized songbird with a blue upper body, a white underbody, and a raucous call,Unknown,Blue and White,,,,
European Bee-eater,Athens,29-06-2023 14:20,A colorful bird with a brown plumage, a yellow throat, and a long, curved bill,Unknown,Brown and Yellow,,,
Rock Pigeon,Paris,06-07-2023 09:25,A medium-sized pigeon with a gray plumage and a distinctive iridescent neck patch,Unknown,Gray,,,,,,
Black-throated Green Warbler,Washington, D.C.,24-06-2023 11:40,A small warbler with a black throat, a yellow underbody, and a green back,Male,Black, Yellow, and Green,
Greater Flamingo,Mumbai,02-07-2023 13:30,A large wading bird with a pink plumage, a long neck, and distinctive downward-curving bill,Unknown,Pink,,,,
Western Tanager,Seattle,25-06-2023 15:50,A medium-sized bird with a bright red head, a yellow body, and black wings,Male,Red, Yellow, and Black,,
Crested Tit,Edinburgh,03-07-2023 09:55,A small songbird with a black-and-white head pattern and a distinctive crest,Unknown,Black and White,,,,,,
Cinnamon Teal,Portland,26-06-2023 12:35,A small dabbling duck with a cinnamon-brown plumage, a red eye, and a distinctive blue bill patch,Male,Cinnamon-brown, Red, and Blue,,
Black-capped Chickadee,Boston,04-07-2023 14:10,A small songbird with a black cap, a white underbody," and a distinctive ""chick-a-dee-dee-dee"" call,Unknown,Black and White",Unknown,Black and White,,,,
Eurasian Nuthatch,Amsterdam,27-06-2023 16:55,A small songbird with a blue-gray upper body, a rusty-orange underbody, and a habit of climbing down trees headfirst,Unknown,Blue-gray and Rusty-orange,,,,
Barn Swallow,Cape Town,05-07-2023 09:45,A medium-sized bird with a blue upper body, a rusty-red underbody, and a distinctive forked tail,Unknown,Blue, Rusty-red, and Forked,,
Black-throated Sparrow,Tucson,23-06-2023 11:15,A small sparrow with a black-and-white head pattern and a gray underbody,Unknown,Black, White, and Gray,,,,
Scarlet Macaw,Rio de Janeiro,01-07-2023 12:30,A large parrot with a colorful plumage, including red, blue, and yellow,Unknown,Red, Blue, and Yellow,
Black-crowned Night Heron,Seattle,28-06-2023 14:35,A medium-sized heron with a black plumage, a white underbody, and red eyes,Unknown,Black, White, and Red,,
Rufous Hummingbird,Victoria,06-07-2023 09:50,A small hummingbird with a reddish-brown plumage and a metallic sheen,Male,Reddish-brown and Metallic,,,,,,
Barred Owl,Vancouver,24-06-2023 11:10,A medium-sized owl with a brown plumage, a barred chest, and a distinctive hooting call,Unknown,Brown and Barred,,,,
Ring-necked Pheasant,Denver,02-07-2023 14:25,A large gamebird with a colorful plumage, including copper, green, and brown,Male,Copper, Green, and Brown,
Snowy Egret,New Orleans,29-06-2023 16:15,A medium-sized heron with a white plumage, a slender black bill, and distinctive yellow feet,Unknown,White, Black, and Yellow,,
Bohemian Waxwing,Calgary,07-07-2023 09:55,A medium-sized bird with a gray-brown plumage, a black mask, and waxy red tips on its wings,Unknown,Gray-brown, Black, and Red,,
Oriental Magpie-Robin,Delhi,25-06-2023 12:40,A medium-sized songbird with a black-and-white plumage and a melodious song,Unknown,Black and White,,,,,,
Lilac-breasted Roller,Nairobi,03-07-2023 15:05,A colorful bird with a lilac plumage, a blue head, and a distinctive rolling flight pattern,Unknown,Lilac and Blue,,,,
Rufous-crowned Sparrow,Los Angeles,26-06-2023 16:30,A small sparrow with a brown plumage, a rusty crown, and a distinctive buzzing trill,Unknown,Brown and Rusty,,,,
Eurasian Tree Sparrow,Amsterdam,04-07-2023 09:25,A small sparrow with a brown plumage and a black patch on its cheek,Unknown,Brown and Black,,,,,,
Yellow-throated Vireo,New York City,27-06-2023 11:40,A small songbird with a yellow throat, a gray head, and a melodious song,Male,Yellow and Gray,,,,
Short-eared Owl,London,05-07-2023 13:30,A medium-sized owl with a mottled brown plumage, a short ear tufts," and a distinctive ""barking"" call,Unknown,Brown",Unknown,Brown,,,,
Black-and-white Warbler,Chicago,23-06-2023 14:45,A small warbler with a black-and-white striped plumage,Male,Black and White,,,,,,
Laughing Kookaburra,Sydney,01-07-2023 16:55,A medium-sized bird with a brownish-plumage, a white underbody, and a distinctive laughing call,Unknown,Brownish and White,,,,
White-breasted Nuthatch,Seattle,24-06-2023 09:55,A small songbird with a blue-gray upper body, a white underbody," and a distinctive ""yank-yank"" call,Unknown,Blue-gray and White",Unknown,Blue-gray and White,,,,
Black-headed Grosbeak,Denver,02-07-2023 11:20,A medium-sized songbird with a black head, a rusty-orange underbody, and a large bill,Male,Black and Rusty-orange,,,,
Rock Ptarmigan,Anchorage,25-06-2023 12:35,A medium-sized gamebird with a mottled gray-brown plumage and a distinctive white winter plumage,Male,Gray-brown and White,,,,,,
Northern Cardinal,Atlanta,03-07-2023 14:50,A medium-sized songbird with a red plumage and a distinctive crest,Male,Red,,,,,,
Gray-cheeked Thrush,New York City,26-06-2023 16:15,A medium-sized thrush with a gray plumage, a rusty tail, and a melodious song,Unknown,Gray and Rusty,,,,
Wood Duck,Vancouver,04-07-2023 09:55,A medium-sized duck with a colorful plumage, including iridescent green, a distinctive crested head, and a white eye patch,Male,Green, White, and Colorful,
Pileated Woodpecker,Seattle,27-06-2023 12:40,A large woodpecker with a black plumage, a red crest," and a distinctive ""laughing"" call,Unknown,Black and Red",Unknown,Black and Red,,,,
Red-headed Woodpecker,Chicago,05-07-2023 14:05,A medium-sized woodpecker with a black-and-white plumage and a bright red head,Male,Black, White, and Red,,,,
Green Heron,New Orleans,28-06-2023 09:45,A small heron with a greenish-gray plumage, a chestnut neck, and a dagger-like bill,Unknown,Greenish-gray and Chestnut,,,,
Chestnut-sided Warbler,New York City,06-07-2023 11:10,A small warbler with a yellow underbody, a chestnut-colored patch on its sides, and a gray head,Male,Yellow, Chestnut, and Gray,,
Eurasian Golden Oriole,Amsterdam,29-06-2023 13:40,A medium-sized bird with a bright yellow plumage and a melodious flute-like song,Male,Yellow,,,,,,
Sooty Tern,Sydney,07-07-2023 15:05,A medium-sized seabird with a black plumage, a white underbody," and a distinctive ""kerrr"" call,Unknown,Black and White",Unknown,Black and White,,,,
Black-chinned Hummingbird,Tucson,26-06-2023 09:55,A small hummingbird with a green back, a black chin, and a metallic sheen,Male,Green, Black, and Metallic,,
Alder Flycatcher,Seattle,08-07-2023 11:15,A small songbird with a brownish-plumage," a distinctive ""fee-bee-o"" call, and a habit of perching in alder trees,Unknown,Brownish", and a habit of perching in alder trees,Unknown,Brownish,,,,
Red-bellied Pitta,Kuala Lumpur,23-06-2023 12:30,A small bird with a colorful plumage, including red, green, and blue,Unknown,Red, Green, and Blue,
Mallard,Paris,01-07-2023 14:50,A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call,Unknown,Green, White, and Colorful,
Belted Kingfisher,London,24-06-2023 16:15,A medium-sized bird with a blue-gray plumage, a white underbody, and a distinctive rattling call,Unknown,Blue-gray and White,,,,
Eurasian Jackdaw,Edinburgh,02-07-2023 09:25,A small bird with a black plumage, a gray nape, and a distinctive jack-like call,Unknown,Black and Gray,,,,
Hooded Merganser,Calgary,25-06-2023 11:40,A small diving duck with a black-and-white plumage and a distinctive fan-shaped crest,Male,Black and White,,,,,,
Black-billed Magpie,Denver,03-07-2023 13:45,A medium-sized bird with a black-and-white plumage and a long tail,Unknown,Black and White,,,,,,
Northern Shoveler,Anchorage,26-06-2023 15:05,A medium-sized dabbling duck with a colorful plumage, including iridescent green, a distinctive shovel-shaped bill, and a blue forewing patch,Male,Green, Blue, and Colorful,
Hooded Oriole,Los Angeles,04-07-2023 09:55,A medium-sized bird with a yellow plumage, a black hood, and a melodious song,Male,Yellow and Black,,,,
Gray Wagtail,Oslo,27-06-2023 12:20,A small bird with a gray plumage, a yellow underbody, and a distinctive wagging tail,Unknown,Gray and Yellow,,,,
Ring-necked Duck,Vancouver,05-07-2023 14:35,A medium-sized diving duck with a black-and-white plumage and a distinctive chestnut-colored neck ring,Male,Black, White, and Chestnut,,,,
Rufous-bellied Niltava,Kathmandu,28-06-2023 09:55,A small bird with a brownish-plumage, a rusty underbody, and a vibrant blue crown,Male,Brownish, Rusty, and Blue,,
American Pipit,Seattle,06-07-2023 11:10,A small songbird with a brownish-plumage, a white underbody, and a habit of bobbing its tail,Unknown,Brownish and White,,,,
Red-breasted Merganser,London,29-06-2023 13:30,A medium-sized diving duck with a brownish-plumage, a red head, and a long, thin bill,Unknown,Brownish and Red,,,
Bank Swallow,Chicago,07-07-2023 15:45,A small bird with a brownish-plumage, a white underbody, and a habit of nesting in sandy riverbanks,Unknown,Brownish and White,,,,
Eurasian Bullfinch,Paris,26-06-2023 09:55,A small finch with a colorful plumage, including gray, pink, and black,Male,Gray, Pink, and Black,
Brewer's Blackbird,Seattle,01-07-2023 12:40,A medium-sized blackbird with a black plumage and a distinctive bright yellow eye,Male,Black and Yellow,,,,,,
Cactus Wren,Tucson,08-07-2023 14:10,A medium-sized wren with a brown plumage, a white eyebrow stripe, and a loud, rattling song,Unknown,Brown and White,,,
Blackpoll Warbler,New York City,27-06-2023 16:35,A small warbler with a black cap, a white underbody, and a gray back,Male,Black, White, and Gray,,
Gray Partridge,London,02-07-2023 09:55,A medium-sized gamebird with a grayish-brown plumage and a distinctive face pattern,Unknown,Grayish-brown,,,,,,
American White Pelican,Denver,28-06-2023 11:20,A large waterbird with a white plumage, a long bill, and a distinctive throat pouch,Unknown,White,,,,
Black Skimmer,New Orleans,03-07-2023 14:35,A medium-sized seabird with a black upper body, a white underbody, and a distinctive elongated lower bill,Unknown,Black and White,,,,
African Grey Hornbill,Nairobi,29-06-2023 16:55,A medium-sized bird with a gray plumage, a large curved bill, and a distinctive red casque on top of its bill,Unknown,Gray and Red,,,,
White-tailed Ptarmigan,Yellowknife,04-07-2023 09:50,A medium-sized gamebird with a mottled gray-brown plumage, a white winter plumage, and a distinctive white tail,Male,Gray-brown and White,,,,
Lark Bunting,Denver,30-06-2023 12:30,A medium-sized bunting with a black-and-white plumage and a melodious song,Male,Black and White,,,,,,
Purple Finch,Calgary,05-07-2023 14:50,A medium-sized finch with a colorful plumage, including purple, red, and brown,Male,Purple, Red, and Brown,
Common Grackle,New York City,01-07-2023 09:55,A medium-sized blackbird with a black plumage and a distinctive keel-shaped tail,Male,Black,,,,,,
Cape May Warbler,Toronto,06-07-2023 13:45,A small warbler with a yellow underbody, a chestnut cheek patch, and distinctive dark streaks on its breast,Male,Yellow, Chestnut, and Dark,,
Eurasian Spoonbill,Amsterdam,27-06-2023 16:55,A large wading bird with a white plumage, a distinctive spoon-shaped bill, and a habit of sweeping its bill from side to side while feeding,Unknown,White,,,,
Red-breasted Sapsucker,Seattle,02-07-2023 09:25,A medium-sized woodpecker with a black-and-white plumage, a red head, and distinctive horizontal rows of holes on trees,Unknown,Black, White, and Red,,
Ruddy Turnstone,New York City,28-06-2023 11:40,A small sandpiper with a mottled brown plumage and a distinctive pattern of black-and-white on its back,Unknown,Brown, Black, and White,,,,
Greater Prairie-Chicken,Chicago,03-07-2023 14:05,A large grouse with a mottled brown plumage, a colorful neck sac," and a distinctive ""booming"" courtship display,Male,Brown and Colorful",Male,Brown and Colorful,,,,
Purple Gallinule,Miami,29-06-2023 16:30,A medium-sized waterbird with a colorful plumage, including purple, blue, and green,Unknown,Purple, Blue, and Green,
American Goldfinch,Seattle,04-07-2023 09:45,A small finch with a bright yellow plumage and a distinctive black cap,Male,Yellow and Black,,,,,,
Harris's Hawk,Tucson,30-06-2023 12:10,A medium-sized hawk with a brown plumage, a reddish shoulder patch, and a distinctive white rump,Unknown,Brown, Reddish, and White,,
Peregrine Falcon,London,05-07-2023 13:30,A medium-sized falcon with a dark gray plumage," a black ""moustache"" mark, and a high-speed dive known as a ""stoop"",Unknown,Dark Gray and Black"," and a high-speed dive known as a ""stoop"",Unknown,Dark Gray and Black",Unknown,Dark Gray and Black,,,,
Spotted Towhee,Vancouver,07-07-2023 15:05,A medium-sized sparrow with a black upper body, a rusty underbody, and distinctive white spots on its wings,Male,Black, Rusty, and White,,
Ruddy Duck,Calgary,26-06-2023 09:55,A small diving duck with a colorful plumage, including chestnut, black, and white,Male,Chestnut, Black, and White,
Chestnut-backed Chickadee,Seattle,01-07-2023 12:30,A small songbird with a gray upper body, a rusty-brown cap, and a distinctive chick-a-dee-dee call,Unknown,Gray and Rusty-brown,,,,
Eurasian Reed Warbler,Moscow,08-07-2023 14:10,A small warbler with a brown plumage, a white underbody, and a melodious song,Unknown,Brown and White,,,,
Eastern Whip-poor-will,Atlanta,27-06-2023 09:55,A medium-sized nocturnal bird with a mottled brown plumage, a large mouth," and a distinctive ""whip-poor-will"" call,Unknown,Brown",Unknown,Brown,,,,
White-crowned Sparrow,Los Angeles,02-07-2023 11:20,A medium-sized sparrow with a gray plumage, a distinctive black-and-white head pattern, and a melodious song,Unknown,Gray, Black, and White,,
African Penguin,Cape Town,28-06-2023 13:40,A medium-sized penguin with a black-and-white plumage and a distinctive pink gland above its eyes,Unknown,Black, White, and Pink,,,,
Black-crowned Night Heron,New Orleans,03-07-2023 15:05,A medium-sized heron with a black plumage, a white underbody, and red eyes,Unknown,Black, White, and Red,,
Eastern Screech-Owl,Atlanta,29-06-2023 16:55,A small owl with a mottled gray plumage, a distinctive ear tufts, and a haunting trilling call,Unknown,Gray,,,,
Herring Gull,Boston,04-07-2023 09:45,A large gull with a gray-and-white plumage, a yellow bill," and a distinctive ""laughing"" call,Unknown,Gray, White, and Yellow",Unknown,Gray, White, and Yellow,,
Australian Pelican,Sydney,23-06-2023 12:40,A large waterbird with a white plumage, a long bill, and a distinctive throat pouch,Unknown,White,,,,
Red Knot,Seattle,01-07-2023 14:10,A medium-sized sandpiper with a rusty plumage, a white underbody, and a long bill,Unknown,Rusty and White,,,,
Common Moorhen,London,26-06-2023 16:35,A medium-sized waterbird with a black plumage, a red bill, and a distinctive white undertail,Male,Black, Red, and White,,
Long-eared Owl,Denver,04-07-2023 09:55,A medium-sized owl with a mottled brown plumage, long ear tufts, and a fierce glare,Unknown,Brown,,,,
Common Chaffinch,Edinburgh,02-07-2023 11:15,A small finch with a colorful plumage, including blue, brown, and pink,Unknown,Blue, Brown, and Pink,
Bar-tailed Godwit,Anchorage,27-06-2023 12:35,A medium-sized wading bird with a mottled brown plumage, a long, upturned bill, and distinctive barred tail feathers,Unknown,Brown and Barred,,,
Red-bellied Woodpecker,Atlanta,05-07-2023 13:30,A medium-sized woodpecker with a grayish-brown plumage, a red cap," and a distinctive ""churr"" call,Unknown,Grayish-brown and Red",Unknown,Grayish-brown and Red,,,,
African Grey Parrot,Kinshasa,29-06-2023 15:55,A medium-sized parrot with a gray plumage, a distinctive red tail, and a talent for mimicry,Unknown,Gray and Red,,,,
Crested Caracara,Mexico City,06-07-2023 09:25,A medium-sized bird of prey with a black-and-white plumage, a distinctive crest, and a hooked bill,Unknown,Black and White,,,,
Mallard,New York City,07-07-2023 12:40,A medium-sized dabbling duck with a colorful plumage, including iridescent green, a white neck ring, and a distinctive quacking call,Unknown,Green, White, and Colorful,
Golden-crowned Kinglet,Seattle,08-07-2023 15:05,A small bird with a greenish-gray plumage, a black-and-white head pattern, and a distinctive golden crown,Male,Greenish-gray, Black, and Gold,,
Graylag Goose,Amsterdam,24-06-2023 09:55,A large goose with a grayish-brown plumage and a distinctive orange bill,Unknown,Grayish-brown and Orange,,,,,,
Prothonotary Warbler,New Orleans,01-07-2023 12:30,A small warbler with a bright yellow plumage,Male,Yellow,,,,,,
Eurasian Wigeon,London,27-06-2023 16:35,A medium-sized dabbling duck with a grayish-brown plumage, a white belly, and a distinctive white crown patch,Unknown,Grayish-brown and White,,,,
Yellow-throated Vireo,New York City,04-07-2023 09:55,A small songbird with a yellow throat, a gray head, and a melodious song,Male,Yellow and Gray,,,,
Short-eared Owl,London,07-07-2023 13:30,A medium-sized owl with a mottled brown plumage, a short ear tufts," and a distinctive ""barking"" call,Unknown,Brown",Unknown,Brown,,,,
Black-and-white Warbler,Chicago,25-06-2023 14:05,A small warbler with a black-and-white striped plumage,Male,Black and White,,,,,,
Laughing Kookaburra,Sydney,02-07-2023 16:35,A medium-sized bird with a brownish-plumage, a white underbody, and a distinctive laughing call,Unknown,Brownish and White,,,,
White-breasted Nuthatch,Seattle,09-07-2023 09:55,A small songbird with a blue-gray upper body, a white underbody," and a distinctive ""yank-yank"" call,Unknown,Blue-gray and White",Unknown,Blue-gray and White,,,,
Black-headed Grosbeak,Denver,26-06-2023 12:20,A medium-sized songbird with a black head, a rusty-orange underbody, and a large bill,Male,Black and Rusty-orange,,,,
Rock Ptarmigan,Anchorage,03-07-2023 13:45,A medium-sized gamebird with a mottled gray-brown plumage and a distinctive white winter plumage,Male,Gray-brown and White,,,,,,
